,pHopt
6.3.2.6_0,7.3731027
6.3.2.6_1,6.972182
6.3.2.6_2,7.804928
6.3.2.6_3,7.25928
6.3.2.6_4,7.5411015
6.3.2.6_5,7.299748
6.3.2.6_6,7.384389
6.3.2.6_7,7.4763045
6.3.2.6_8,7.5259933
6.3.2.6_9,7.722861
6.3.2.6_10,7.5768833
6.3.2.6_11,7.4557753
6.3.2.6_12,7.4439673
6.3.2.6_13,6.889452
6.3.2.6_14,7.3804197
6.3.2.6_15,7.7606297
6.3.2.6_16,7.169285
6.3.2.6_17,7.2206907
6.3.2.6_18,7.8054104
6.3.2.6_19,6.755593
6.3.2.6_20,7.5414047
6.3.2.6_21,7.762088
6.3.2.6_22,7.659957
6.3.2.6_23,7.894578
6.3.2.6_24,7.8386836
6.3.2.6_25,7.478111
6.3.2.6_26,7.4848685
6.3.2.6_27,7.7804356
6.3.2.6_28,7.3766594
6.3.2.6_29,7.725251
6.3.2.6_30,7.795433
6.3.2.6_31,8.175727
6.3.2.6_32,7.30463
6.3.2.6_33,7.8746576
6.3.2.6_34,6.9633255
6.3.2.6_35,7.640525
6.3.2.6_36,7.4195433
6.3.2.6_37,7.8660803
6.3.2.6_38,7.3589973
6.3.2.6_39,7.698016
6.3.2.6_40,7.717665
6.3.2.6_41,7.1165657
6.3.2.6_42,7.1774263
6.3.2.6_43,6.674759
6.3.2.6_44,7.0683184
6.3.2.6_45,7.6072493
6.3.2.6_46,7.506745
6.3.2.6_47,7.9571533
6.3.2.6_48,7.775794
6.3.2.6_49,7.5674853
6.3.2.6_50,7.238023
6.3.2.6_51,7.549883
6.3.2.6_52,7.4120193
6.3.2.6_53,7.2067175
6.3.2.6_54,7.3736243
6.3.2.6_55,7.319257
6.3.2.6_56,7.4876757
6.3.2.6_57,7.6031513
6.3.2.6_58,7.4810405
6.3.2.6_59,7.671845
6.3.2.6_60,7.3273225
6.3.2.6_61,7.453106
6.3.2.6_62,7.8182373
6.3.2.6_63,7.651114
6.3.2.6_64,7.4771004
6.3.2.6_65,7.3380213
6.3.2.6_66,7.3924522
6.3.2.6_67,7.4628897
6.3.2.6_68,7.7203627
6.3.2.6_69,7.1078653
6.3.2.6_70,7.3729725
6.3.2.6_71,7.3906193
6.3.2.6_72,7.447204
6.3.2.6_73,7.534188
6.3.2.6_74,7.5154886
6.3.2.6_75,7.6090145
6.3.2.6_76,7.448155
6.3.2.6_77,7.528447
6.3.2.6_78,7.1187572
6.3.2.6_79,7.62562
6.3.2.6_80,7.056402
6.3.2.6_81,7.6273727
6.3.2.6_82,7.6425915
6.3.2.6_83,7.8460875
6.3.2.6_84,6.926645
6.3.2.6_85,7.1118984
6.3.2.6_86,7.44135
6.3.2.6_87,6.4235053
6.3.2.6_88,7.16982
6.3.2.6_89,7.631139
6.3.2.6_90,7.121875
6.3.2.6_91,7.3608437
6.3.2.6_92,7.119934
6.3.2.6_93,6.856088
6.3.2.6_94,7.2918677
6.3.2.6_95,7.31775
6.3.2.6_96,7.6721754
6.3.2.6_97,7.4086704
6.3.2.6_98,6.693734
6.3.2.6_99,7.4732647
