,pHopt
4.2.1.59_0,7.526841
4.2.1.59_1,7.5708957
4.2.1.59_2,7.327655
4.2.1.59_3,8.057001
4.2.1.59_4,7.417525
4.2.1.59_5,7.625965
4.2.1.59_6,7.6044827
4.2.1.59_7,7.626341
4.2.1.59_8,7.609931
4.2.1.59_9,7.592186
4.2.1.59_10,7.964944
4.2.1.59_11,7.26832
4.2.1.59_12,7.5045657
4.2.1.59_13,7.688195
4.2.1.59_14,7.5812063
4.2.1.59_15,7.7868757
4.2.1.59_16,7.6023207
4.2.1.59_17,7.5957913
4.2.1.59_18,7.5257363
4.2.1.59_19,7.7227907
4.2.1.59_20,7.4384003
4.2.1.59_21,7.425887
4.2.1.59_22,7.2102375
4.2.1.59_23,7.4073153
4.2.1.59_24,7.449979
4.2.1.59_25,7.3633733
4.2.1.59_26,7.6051273
4.2.1.59_27,7.394594
4.2.1.59_28,7.3150005
4.2.1.59_29,7.4351883
4.2.1.59_30,7.4773393
4.2.1.59_31,7.2916594
4.2.1.59_32,7.439969
4.2.1.59_33,7.204441
4.2.1.59_34,7.4125094
4.2.1.59_35,7.4163094
4.2.1.59_36,7.3675528
4.2.1.59_37,7.405525
4.2.1.59_38,7.1297555
4.2.1.59_39,7.4380136
4.2.1.59_40,7.8848867
4.2.1.59_41,7.8401423
4.2.1.59_42,7.5971146
4.2.1.59_43,7.2657213
4.2.1.59_44,7.410474
4.2.1.59_45,7.7912335
4.2.1.59_46,7.405873
4.2.1.59_47,7.556425
4.2.1.59_48,7.161669
4.2.1.59_49,7.7356305
4.2.1.59_50,7.584553
4.2.1.59_51,7.5316467
4.2.1.59_52,7.522026
4.2.1.59_53,7.816118
4.2.1.59_54,7.837604
4.2.1.59_55,7.483499
4.2.1.59_56,7.7806034
4.2.1.59_57,7.3457737
4.2.1.59_58,7.7317324
4.2.1.59_59,7.3478107
4.2.1.59_60,7.495659
4.2.1.59_61,7.566942
4.2.1.59_62,7.103222
4.2.1.59_63,7.517255
4.2.1.59_64,7.7921085
4.2.1.59_65,6.9814987
4.2.1.59_66,7.4987307
4.2.1.59_67,7.6503067
4.2.1.59_68,7.921216
4.2.1.59_69,7.4209585
4.2.1.59_70,7.4537635
4.2.1.59_71,7.3588276
4.2.1.59_72,7.702472
4.2.1.59_73,7.813099
4.2.1.59_74,7.531037
4.2.1.59_75,7.6277075
4.2.1.59_76,7.338196
4.2.1.59_77,7.411868
4.2.1.59_78,7.5699625
4.2.1.59_79,7.4096146
4.2.1.59_80,7.590275
4.2.1.59_81,7.747062
4.2.1.59_82,7.61494
4.2.1.59_83,7.63019
4.2.1.59_84,7.477402
4.2.1.59_85,8.136132
4.2.1.59_86,7.379995
4.2.1.59_87,7.531194
4.2.1.59_88,7.7847805
4.2.1.59_89,8.135142
4.2.1.59_90,7.284436
4.2.1.59_91,7.5385547
4.2.1.59_92,7.471486
4.2.1.59_93,6.621275
4.2.1.59_94,7.312294
4.2.1.59_95,7.614393
4.2.1.59_96,7.805361
4.2.1.59_97,7.689879
4.2.1.59_98,7.0684204
4.2.1.59_99,7.164133
