,pHopt
1.11.1.7_0,7.0943294
1.11.1.7_1,6.1707754
1.11.1.7_2,6.3226924
1.11.1.7_3,6.500005
1.11.1.7_4,6.537904
1.11.1.7_5,7.111701
1.11.1.7_6,6.5130706
1.11.1.7_7,6.34173
1.11.1.7_8,7.150942
1.11.1.7_9,6.0247755
1.11.1.7_10,6.139622
1.11.1.7_11,5.3268433
1.11.1.7_12,7.046547
1.11.1.7_13,7.1441674
1.11.1.7_14,6.2441134
1.11.1.7_15,5.834531
1.11.1.7_16,5.663422
1.11.1.7_17,6.047612
1.11.1.7_18,5.031241
1.11.1.7_19,6.381027
1.11.1.7_20,6.2160163
1.11.1.7_21,5.7567286
1.11.1.7_22,7.402406
1.11.1.7_23,6.286293
1.11.1.7_24,5.4049587
1.11.1.7_25,5.750942
1.11.1.7_26,6.335168
1.11.1.7_27,6.3999014
1.11.1.7_28,4.9708776
1.11.1.7_29,5.1919546
1.11.1.7_30,6.860839
1.11.1.7_31,5.706399
1.11.1.7_32,5.999524
1.11.1.7_33,7.76436
1.11.1.7_34,4.8870673
1.11.1.7_35,5.444125
1.11.1.7_36,6.863674
1.11.1.7_37,6.3908577
1.11.1.7_38,4.885757
1.11.1.7_39,5.277485
1.11.1.7_40,5.854225
1.11.1.7_41,5.162746
1.11.1.7_42,4.9032702
1.11.1.7_43,5.0525904
1.11.1.7_44,4.831164
1.11.1.7_45,5.719624
1.11.1.7_46,5.669896
1.11.1.7_47,5.2136073
1.11.1.7_48,6.7637305
1.11.1.7_49,6.0927086
1.11.1.7_50,5.1467814
1.11.1.7_51,6.164096
1.11.1.7_52,5.039384
1.11.1.7_53,6.2209992
1.11.1.7_54,4.993677
1.11.1.7_55,5.7649045
1.11.1.7_56,4.9761143
1.11.1.7_57,4.6298428
1.11.1.7_58,4.8396916
1.11.1.7_59,4.8239107
1.11.1.7_60,5.5177603
1.11.1.7_61,5.473754
1.11.1.7_62,5.4301305
1.11.1.7_63,7.137138
1.11.1.7_64,4.382881
1.11.1.7_65,6.289416
1.11.1.7_66,7.8780036
1.11.1.7_67,6.193384
1.11.1.7_68,5.393129
1.11.1.7_69,5.057963
1.11.1.7_70,5.129857
1.11.1.7_71,7.2260084
1.11.1.7_72,5.986792
1.11.1.7_73,5.3152585
1.11.1.7_74,5.270456
1.11.1.7_75,6.7618365
1.11.1.7_76,7.0458455
1.11.1.7_77,6.505727
1.11.1.7_78,6.7838564
1.11.1.7_79,5.97047
1.11.1.7_80,6.273946
1.11.1.7_81,7.2649612
1.11.1.7_82,6.974423
1.11.1.7_83,7.8705163
1.11.1.7_84,6.7080097
1.11.1.7_85,7.6628375
1.11.1.7_86,6.832661
1.11.1.7_87,6.5517526
1.11.1.7_88,6.5414786
1.11.1.7_89,7.188528
1.11.1.7_90,7.229878
1.11.1.7_91,5.675349
1.11.1.7_92,6.2105246
1.11.1.7_93,7.659034
1.11.1.7_94,7.781659
1.11.1.7_95,7.084922
1.11.1.7_96,7.2847953
1.11.1.7_97,7.696954
1.11.1.7_98,7.247931
1.11.1.7_99,8.19066
