,pHopt
3.4.23.36_0,7.380183
3.4.23.36_1,7.3537593
3.4.23.36_2,7.408863
3.4.23.36_3,7.6812453
3.4.23.36_4,7.50556
3.4.23.36_5,7.457386
3.4.23.36_6,7.4130588
3.4.23.36_7,7.677641
3.4.23.36_8,7.609992
3.4.23.36_9,7.1422873
3.4.23.36_10,7.414145
3.4.23.36_11,7.4669285
3.4.23.36_12,7.0717144
3.4.23.36_13,6.967658
3.4.23.36_14,7.9693427
3.4.23.36_15,7.475297
3.4.23.36_16,7.4045725
3.4.23.36_17,7.360691
3.4.23.36_18,7.6162586
3.4.23.36_19,7.4595103
3.4.23.36_20,7.5283637
3.4.23.36_21,7.545453
3.4.23.36_22,6.9653826
3.4.23.36_23,7.199562
3.4.23.36_24,7.164794
3.4.23.36_25,7.678142
3.4.23.36_26,7.4336195
3.4.23.36_27,7.021032
3.4.23.36_28,6.8755016
3.4.23.36_29,7.4245696
3.4.23.36_30,7.1463423
3.4.23.36_31,6.9195337
3.4.23.36_32,7.209879
3.4.23.36_33,7.2523036
3.4.23.36_34,7.4556465
3.4.23.36_35,7.59898
3.4.23.36_36,7.456272
3.4.23.36_37,7.3897223
3.4.23.36_38,8.001755
3.4.23.36_39,7.2755957
3.4.23.36_40,7.627184
3.4.23.36_41,7.453621
3.4.23.36_42,7.247261
3.4.23.36_43,7.773742
3.4.23.36_44,7.0581884
3.4.23.36_45,7.3844028
3.4.23.36_46,7.6085553
3.4.23.36_47,7.550782
3.4.23.36_48,7.20442
3.4.23.36_49,7.303004
3.4.23.36_50,7.5282574
3.4.23.36_51,7.8368883
3.4.23.36_52,7.867491
3.4.23.36_53,7.5268703
3.4.23.36_54,7.6129074
3.4.23.36_55,7.673432
3.4.23.36_56,7.638978
3.4.23.36_57,7.7883587
3.4.23.36_58,7.3254557
3.4.23.36_59,6.699793
3.4.23.36_60,7.67422
3.4.23.36_61,7.483589
3.4.23.36_62,7.2850776
3.4.23.36_63,7.584877
3.4.23.36_64,7.6096087
3.4.23.36_65,7.408284
3.4.23.36_66,7.574599
3.4.23.36_67,7.5897408
3.4.23.36_68,7.5506687
3.4.23.36_69,6.9577746
3.4.23.36_70,7.4717374
3.4.23.36_71,7.152115
3.4.23.36_72,7.6935697
3.4.23.36_73,7.193619
3.4.23.36_74,7.6121697
3.4.23.36_75,7.553762
3.4.23.36_76,7.3739758
3.4.23.36_77,7.590623
3.4.23.36_78,7.2689996
3.4.23.36_79,7.187339
3.4.23.36_80,7.521264
3.4.23.36_81,7.4123926
3.4.23.36_82,7.4310603
3.4.23.36_83,7.2873564
3.4.23.36_84,7.6787577
3.4.23.36_85,7.1338406
3.4.23.36_86,7.696776
3.4.23.36_87,7.1319566
3.4.23.36_88,7.2212973
3.4.23.36_89,7.0457864
3.4.23.36_90,7.0924582
3.4.23.36_91,7.688476
3.4.23.36_92,7.4933386
3.4.23.36_93,7.3744736
3.4.23.36_94,7.148258
3.4.23.36_95,7.297542
3.4.23.36_96,7.005972
3.4.23.36_97,7.5448036
3.4.23.36_98,7.7394676
3.4.23.36_99,7.251852
